 *** DISPLACEMENT ***
 NODE     U       V       T
          91   1.2549079270626231E-003   3.8622094808280780E-003   40.000000001628166     
          92   8.7250077591220668E-004   3.6342272935549749E-003   33.103698685036704     
          93   5.4567674054512342E-004   3.4452673589211603E-003   25.834624324019359     
          94   2.6059818130489429E-004   3.3112138576642000E-003   18.150174285311522     
          95   5.6982743367098076E-020   3.2473372412482409E-003   10.000000000425842     
          96   9.4801400229163092E-004   3.9487625189635472E-003   40.000000001628166     
          97   5.8467296104621760E-004   3.6914798054624399E-003   33.103698684893352     
          98   2.7368204062266997E-004   3.4774600530339071E-003   25.834624323928487     
          99   1.1970650252599182E-019   3.3214527880655689E-003   18.150174285272794     
         100   6.3527525594197142E-004   4.0109701232096760E-003   40.000000001628166     
         101   2.9324044289138188E-004   3.7259731169663780E-003   33.103698684723710     
         102   1.3679081216820755E-019   3.4882130496671454E-003   25.834624323855319     
         103   3.1861982653550640E-004   4.0484487629748808E-003   40.000000001628166     
         104   1.5417422474516515E-019   3.7374945653159304E-003   33.103698684593525     
         105   7.6947762962052510E-020   4.0609673700151500E-003   40.000000000814076     
 *** NODAL STRESS ***
 NODE       Sx      Sy      Sxy
           1   1.5688991484984087        58.177793270843580       -2.2858117215606288     
           2   2.2108946208738414        25.699978370312696       -1.0097549054998083     
           3   1.9173738578253481        57.829318560227854       -4.4277910211045182     
           4   2.7330024242105564       -2.3899296581312663        9.3900592025100871E-002
           5   2.3554894214591320        25.555383570440558       -1.8372511303121271     
           6   2.9542173848019142        56.792475035033803       -8.7465551330455593     
           7   1.7897549379401974       -27.541595945184465        1.0821122543295765     
           8   2.7014665266096243       -2.3583937603085241       0.40070157075422119     
           9   2.7857134183682168        25.125159573265442       -3.6292630406703736     
          10   4.6538991987409384        55.092793222131874       -12.849950030752495     
          11  0.98630420375817218       -49.731137469178954        1.9539417174712028     
          12   1.6091961365193930       -27.361037142556984        2.2942170976923091     
          13   2.6076353525902078       -2.2645625857994687       0.79153653884861885     
          14   3.4909730696838648        24.419899922091684       -5.3319104499543757     
          15   6.9745674935492907        52.772124929446747       -16.636936513573666     
          16  0.67409626636841868       -49.418929535599048        3.9669779377920902     
          17   1.0719656873694208       -26.823806694312498        4.5319429569646914     
          18   2.4538193358961138       -2.1107465692423344        1.1628812509649196     
          19   4.4539025427523571        23.456970449372484       -6.9032685282529727     
          20   9.8590797110024688        49.887612711319463       -20.014266406894158     
          21 -0.25483994326876402       -48.489993323596643        7.8362757139562067     
          22  0.19129198792376745       -25.943132994703209        6.6580773401254012     
          23   2.2438059380140194       -1.9007331721784291        1.5055919668519624     
          24   5.6507913157329392        22.260081675925765       -8.3046452225206586     
          25   13.236409589113560        46.510282828462664       -22.898778643067857     
          26  -1.7776309389745177       -46.967202329215354        11.512618374595334     
          27  -1.0111398528219171       -24.740701153401400        8.6202677607327090     
          28   1.9827663870647463       -1.6396936202882302        1.8112300112878901     
          29   7.0521680164463589        20.858704974318968       -9.5015339896578741     
          30   17.023396061233683        42.723296349427997       -25.219446957127374     
          31  -3.8567805520680460       -44.888052719792675        14.905482161673611     
          32  -2.5057219709668082       -23.246119035600028        10.370198578246926     
          33   1.6771283413494538       -1.3340555736360804        2.0722695618309057     
          34   8.6235260985261526        19.287346892582729       -10.464463454553112     
          35   21.126790964349524        38.619901456603756       -26.919128788330994     
          36  -6.4410932115815207       -42.303740057301553        17.931323508151046     
          37  -4.2556527964210042       -21.496188210286562        11.864780690332690     
          38   1.3344176245466717      -0.99134485841796960        2.2822829573433268     
          39   10.326173512388538        17.584699479489196       -11.169723095649029     
          40   25.445555076312630        34.301137356514197       -27.955972330827059     
          41  -9.4669345631325967       -39.277898699736419        20.515636155189746     
          42  -6.2178432222074722       -19.533997784066695        13.067212521317124     
          43  0.96307291145463592      -0.62000014525839831        2.4360989729449187     
          44   12.118185426826477        15.792687565293704       -11.599947081281746     
          45   29.873346080153340        29.873346318937294       -28.304447071822352     
          46  -12.859798357329344       -35.885034907923099        22.594785747019266     
          47  -8.3439776090686379       -17.407863396900996        13.947886211049786     
          48  0.57223794317665322      -0.22916517664896879        2.5299301465905915     
          49   13.955436552264004        13.955436436249954       -11.744541876283465     
          50   34.301137117506400        25.445555255506861       -27.955972387242731     
          51  -16.536141026690636       -32.208692242036967        24.117576724015372     
          52  -10.581703471792908       -15.170137533937982        14.485116650367274     
          53  0.17153637007276437       0.17153639361674514        2.5614660425448958     
          54   15.792687674304997        12.118185311144613       -11.599947070759395     
          55   38.619901265142879        21.126791116072074       -26.919128867342394     
          56  -20.405438807945824       -28.339394458165618        25.046512917990555     
          57  -12.875920568805835       -12.875920437028199        14.665675441526599     
          58 -0.22916520111953209       0.57223796099983570        2.5299301432431625     
          59   17.584699572880524        10.326173414411040       -11.169723067021208     
          60   42.723296194608061        17.023396191847752       -25.219447050644654     
          61  -24.372416741328394       -24.372416521611662        25.358720834424080     
          62  -15.170137653990434       -10.581703350616159        14.485116630464471     
          63 -0.62000016604669950       0.96307292457160809        2.4360989696149593     
          64   19.287346967475649        8.6235260198844212       -10.464463415248671     
          65   46.510282702843938        13.236409680841822       -22.898778747850187     
          66  -28.339394659468432       -20.405438603821302        25.046512882710029     
          67  -17.407863495770616       -8.3439775082155201        13.947886178006945     
          68 -0.99134487688998141        1.3344176376748640        2.2822829527992585     
          69   20.858705035363148        7.0521679509958446       -9.5015339457153338     
          70   49.887612618695471        9.8590797610091983       -20.014266512014295     
          71  -32.208692408488282       -16.536140852852846        24.117576664671127     
