 *** DISPLACEMENT ***
 NODE     U       V       T
          85   5.0799546342008900E-004   3.2073571197467300E-003   9.9999999992001580     
          86   1.5540649217757017E-003   3.7518446239406095E-003   39.999999997698481     
          87   1.1549493289424561E-003   3.5545685488306746E-003   33.103698581075115     
          88   8.1430715895019167E-004   3.3918334335255413E-003   25.834624175045775     
          89   5.1958968647258059E-004   3.2805601813214558E-003   18.150174176925411     
          90   2.5478314308733339E-004   3.2373267729117550E-003   9.9999999992001580     
          91   1.2549079226829012E-003   3.8622094673300971E-003   39.999999997698481     
          92   8.7250077267137177E-004   3.6342272800319190E-003   33.103698581068258     
          93   5.4567673854490507E-004   3.4452673462645770E-003   25.834624175139727     
          94   2.6059818039158124E-004   3.3112138460269867E-003   18.150174176961166     
          95   5.6982743161160204E-020   3.2473372298964681E-003   9.9999999996000781     
          96   9.4801399898590305E-004   3.9487625051645870E-003   39.999999997698481     
          97   5.8467295887733165E-004   3.6914797917285171E-003   33.103698580970999     
          98   2.7368203962055800E-004   3.4774600402608441E-003   25.834624175245825     
          99   1.1970650203601789E-019   3.3214527763925934E-003   18.150174177040263     
         100   6.3527525373062639E-004   4.0109701091955424E-003   39.999999997698481     
         101   2.9324044180550809E-004   3.7259731031086922E-003   33.103698581121684     
         102   1.3679081160040308E-019   3.4882130368550407E-003   25.834624175295758     
         103   3.1861982543310318E-004   4.0484487488359113E-003   39.999999997698474     
         104   1.5417422426809634E-019   3.7374945514167032E-003   33.103698581331514     
         105   7.6947762769376496E-020   4.0609673558424991E-003   39.999999998849241     
 *** NODAL STRESS ***
 NODE       Sx      Sy      Sxy
           1   1.5688991407985282        58.177792946294737       -2.2858117087874019     
           2   2.2108946165276340        25.699978442484785       -1.0097549082763928     
           3   1.9173738501140642        57.829318239309600       -4.4277909962673148     
           4   2.7330024250140190       -2.3899294506034954        9.3900583905378116E-002
           5   2.3554894169762099        25.555383641296416       -1.8372511362559434     
           6   2.9542173704268584        56.792474719085618       -8.7465550840610202     
           7   1.7897549437956533       -27.541595905837198        1.0821122527789804     
           8   2.7014665289068414       -2.3583935542791643       0.40070155462700624     
           9   2.7857134155745564        25.125159643116262       -3.6292630524751237     
          10   4.6538991749271030        55.092792915812041       -12.849949958789804     
          11  0.98630420531018936       -49.731137782726307        1.9539417295558374     
          12   1.6091961411198226       -27.361037105218802        2.2942170950695266     
          13   2.6076353584454730       -2.2645623835617621       0.79153650693625122     
          14   3.4909730691196090        24.419899989574610       -5.3319104673000890     
          15   6.9745674567514442        52.772124636157656       -16.636936420399213     
          16  0.67409627053392307       -49.418929843120544        3.9669779624343082     
          17   1.0719656932703190       -26.823806656639412        4.5319429518123515     
          18   2.4538193480619888       -2.1107463730864753        1.1628812040949497     
          19   4.4539025453318217        23.456970513738472       -6.9032685506974163     
          20   9.8590796580626545        49.887612434199106       -20.014266294801317     
          21 -0.25483994686181832       -48.489993627170506        7.8362757627115709     
          22  0.19129199469749708       -25.943132958257561        6.6580773325745701     
          23   2.2438059586304124       -1.9007329845395928        1.5055919061781715     
          24   5.6507913221989456        22.260081736392110       -8.3046452495194849     
          25   13.236409517257993        46.510282570252564       -22.898778514818986     
          26  -1.7776309517811562       -46.967202623057332        11.512618446196591     
          27  -1.0111398446765429       -24.740701118302674        8.6202677509408492     
          28   1.9827664182007241       -1.6396934431666292        1.8112299382945638     
          29   7.0521680274693779        20.858705030230265       -9.5015340205488421     
          30   17.023395968169481        42.723296112426027       -25.219446815881238     
          31  -3.8567805778070858       -44.888053000695322        14.905482254366506     
          32  -2.5057219611219201       -23.246119002201144        10.370198566468169     
          33   1.6771283848047316       -1.3340554088285126        2.0722694783170228     
          34   8.6235261146585369        19.287346943385316       -10.464463488575955     
          35   21.126790848303955        38.619901242584788       -26.919128637565045     
          36  -6.4410932533794316       -42.303740322128917        17.931323619664269     
          37  -4.2556527845908931       -21.496188178876217        11.864780676857064     
          38   1.3344176818125797      -0.99134470742249081        2.2822828653655804     
          39   10.326173534057068        17.584699524757198       -11.169723131965577     
          40   25.445554936075993        34.301137166681116       -27.955972174253645     
          41  -9.4669346237484593       -39.277898945746642        20.515636282776150     
          42  -6.2178432081495876       -19.533997754884453        13.067212506476210     
          43  0.96307298368180549      -0.62000000923220056        2.4360988747676218     
          44   12.118185454320784        15.792687604736273       -11.599947118997255     
          45   29.873345915118207        29.873346153902464       -28.304446913296175     
          46  -12.859798439045925       -35.885035132831881        22.594785887535803     
          47  -8.3439775925961897       -17.407863370134095        13.947886195208525     
          48  0.57223803115840510      -0.22916505636963971        2.5299300446319295     
          49   13.955436585731512        13.955436469718622       -11.744541914468190     
          50   34.301136927673305        25.445555115271720       -27.955972230668479     
          51  -16.536141131268181       -32.208692444080384        24.117576874000918     
          52  -10.581703452781614       -15.170137509716563        14.485116633915570     
          53  0.17153647420323365       0.17153649774787019        2.5614659393154215     
          54   15.792687713744785        12.118185338638320       -11.599947108474240     
          55   38.619901051119705        21.126791000023999       -26.919128716574601     
          56  -20.405438936584162       -28.339394636146459        25.046513073753168     
          57  -12.875920547182668       -12.875920415406139        14.665675424869566     
          58 -0.22916508084057668       0.57223804898139186        2.5299300412833783     
          59   17.584699618147340        10.326173436078362       -11.169723103336896     
          60   42.723295957602630        17.023396098780658       -25.219446909395955     
          61  -24.372416894643557       -24.372416674928616        25.358720992131985     
          62  -15.170137629762149       -10.581703331600499        14.485116614010474     
          63 -0.62000003001614412       0.96307299680215241        2.4360988714371117     
          64   19.287347018280133        8.6235260360173154       -10.464463449271154     
          65   46.510282444633006        13.236409608985927       -22.898778619600073     
          66  -28.339394837455487       -20.405438732466543        25.046513038478281     
          67  -17.407863468997675       -8.3439774917379435        13.947886162163801     
          68 -0.99134472589212652        1.3344176949410131        2.2822828608196253     
          69   20.858705091274174        7.0521679620175188       -9.5015339766061135     
          70   49.887612341571355        9.8590797080672701       -20.014266399920693     
          71  -32.208692610543231       -16.536140957436970        24.117576814662712     
          72  -19.533997837537644       -6.2178431237955119        13.067212463938224     
          73  -1.3340554253399399        1.6771283947703770        2.0722694724686708     
          74   22.260081779777089        5.6507912731707011       -8.3046452072790284     
          75   52.772124577560028        6.9745674738006711       -16.636936513662185     
          76  -35.885035268264659       -12.859798293063763        22.594785812278396     
          77  -21.496188245534114       -4.2556527161509106        11.864780626695314     
          78  -1.6396934569552224        1.9827664250951869        1.8112299319171752     
          79   23.456970542804250        4.4539025102074534       -6.9032685105478029     
          80   55.092792884071976        4.6538991664750569       -12.849950033903593     
          81  -39.277899054390971       -9.4669345087518799        20.515636196375461     
          82  -23.246119050152732       -2.5057219116695038        10.370198516691897     
          83  -1.9007329957512900        2.2438059631297889        1.5055919002547826     
          84   24.419900005697599        3.4909730480099013       -5.3319104355434126     
          85   56.792474707212321        2.9542173445520268       -8.7465551354550346     
          86  -42.303740400117327       -6.4410931675495480        17.931323531720984     
          87  -24.740701150227039       -1.0111398107435561        8.6202677052194137     
          88  -2.1107463828481756        2.4538193497412251        1.1628811996866069     
          89   25.125159649815846        2.7857134038364366       -3.6292630303485707     
          90   57.829318239022598        1.9173738150756938       -4.4277910227886297     
          91  -44.888053048018193       -3.8567805199472982        14.905482175237116     
          92  -25.943132974509233       0.19129201373467528        6.6580772963560078     
          93  -2.2645623911481030        2.6076353590548704       0.79153650367238793     
          94   25.555383642330238        2.3554894108223996       -1.8372511249123868     
          95   58.177792949470771        1.5688991014326934       -2.2858117096406612     
          96  -46.967202646800530       -1.7776309209105750        11.512618381996205     
          97  -26.823806663123488        1.0719657021221896        4.5319429270226532     
          98  -2.3583935604820545        2.7014665291229107       0.40070155295882026     
          99   25.699978441907543        2.2108946118713075       -1.0097548967601502     
         100  -48.489993633129757      -0.25483993234268243        7.8362757177843765     
         101  -27.361037105846513        1.6091961437755058        2.2942170825394976     
         102  -2.3899294563595896        2.7330024249797367        9.3900583626159356E-002
         103  -49.418929838440093       0.67409627555534635        3.9669779397532596     
         104  -27.541595904356509        1.7897549440118754        1.0821122467911235     
         105  -49.731137775021907       0.98630420609201719        1.9539417183663286     
